2017-05-25 15:36:48,042 [INFO] webapp.BarcodeView: Barcode added
2017-05-25 15:36:48,045 [INFO] webapp.BarcodeView: Barcode added
2017-05-25 15:36:48,088 [INFO] webapp.barcodevalidator: Barcode is not given when vendor is given
2017-05-25 15:36:48,114 [INFO] webapp.barcodevalidator: End date is given date
2017-05-25 15:36:48,115 [INFO] webapp.barcodevalidator: Barcode is not given when vendor is given
2017-05-25 15:36:48,115 [INFO] webapp.barcodevalidator: Start date is given date
2017-05-25 15:36:48,115 [INFO] webapp.barcodevalidator: End date is given date
2017-05-25 15:36:48,118 [INFO] webapp.barcodevalidator: Start date is given date
2017-05-25 15:36:48,118 [INFO] webapp.barcodevalidator: End date is given date
2017-05-25 15:43:17,400 [INFO] webapp.BarcodeView: Barcode added
2017-05-25 15:43:17,401 [INFO] webapp.BarcodeView: Barcode added
2017-05-25 15:43:17,417 [INFO] webapp.barcodevalidator: Barcode is not given when vendor is given
2017-05-25 15:43:17,424 [INFO] webapp.barcodevalidator: End date is given date
2017-05-25 15:43:17,426 [INFO] webapp.barcodevalidator: Barcode is not given when vendor is given
2017-05-25 15:43:17,426 [INFO] webapp.barcodevalidator: Start date is given date
2017-05-25 15:43:17,426 [INFO] webapp.barcodevalidator: End date is given date
2017-05-25 15:43:17,427 [INFO] webapp.barcodevalidator: Start date is given date
2017-05-25 15:43:17,427 [INFO] webapp.barcodevalidator: End date is given date
2017-05-30 17:44:57,266 [DEBUG] django.db.backends: (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:48:15,953 [DEBUG] django.db.backends: (0.001) SELECT `webapp_vendor`.`id`, `webapp_vendor`.`vendorName`, COUNT(`webapp_token`.`id`) AS `num_tokens` FROM `webapp_vendor` LEFT OUTER JOIN `webapp_token` ON (`webapp_vendor`.`id` = `webapp_token`.`vendor_id`) GROUP BY `webapp_vendor`.`id` ORDER BY NULL LIMIT 1; args=()
2017-05-30 17:48:26,707 [DEBUG] django.db.backends: (0.001) SELECT `webapp_vendor`.`id`, `webapp_vendor`.`vendorName`, COUNT(`webapp_token`.`id`) AS `num_tokens` FROM `webapp_vendor` LEFT OUTER JOIN `webapp_token` ON (`webapp_vendor`.`id` = `webapp_token`.`vendor_id`) GROUP BY `webapp_vendor`.`id` ORDER BY NULL LIMIT 1; args=()
2017-05-30 17:51:58,009 [DEBUG] django.db.backends: (0.001) SELECT `webapp_vendor`.`vendorName`, COUNT(`webapp_token`.`vendor_id`) AS `num_tokens` FROM `webapp_token` INNER JOIN `webapp_vendor` ON (`webapp_token`.`vendor_id` = `webapp_vendor`.`id`) GROUP BY `webapp_vendor`.`vendorName` ORDER BY NULL LIMIT 21; args=()
2017-05-30 17:52:35,727 [DEBUG] django.db.backends: (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:52:35,944 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:52:35,950 [DEBUG] django.db.backends: (0.005) SHOW FULL TABLES; args=None
2017-05-30 17:52:35,967 [DEBUG] django.db.backends: (0.003) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-05-30 17:52:43,772 [DEBUG] django.db.backends: (0.003) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:52:43,986 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:52:43,993 [DEBUG] django.db.backends: (0.006) SHOW FULL TABLES; args=None
2017-05-30 17:52:44,006 [DEBUG] django.db.backends: (0.004) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-05-30 17:53:00,260 [DEBUG] django.db.backends: (0.003) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:53:00,482 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:53:00,487 [DEBUG] django.db.backends: (0.004) SHOW FULL TABLES; args=None
2017-05-30 17:53:00,496 [DEBUG] django.db.backends: (0.003) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-05-30 17:53:12,002 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:53:12,005 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:53:12,006 [DEBUG] django.db.backends: (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:23:11'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:23:11')
2017-05-30 17:53:12,010 [DEBUG] django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:53:12,017 [DEBUG] django.db.backends: (0.003) SELECT COUNT(*) FROM (SELECT `webapp_vendor`.`vendorName` AS Col1, COUNT(`webapp_token`.`vendor_id`) AS `num_tokens` FROM `webapp_token` INNER JOIN `webapp_vendor` ON (`webapp_token`.`vendor_id` = `webapp_vendor`.`id`) GROUP BY `webapp_vendor`.`vendorName` ORDER BY NULL) subquery; args=()
2017-05-30 17:53:12,032 [DEBUG] django.db.backends: (0.001) SELECT `webapp_vendor`.`vendorName`, COUNT(`webapp_token`.`vendor_id`) AS `num_tokens` FROM `webapp_token` INNER JOIN `webapp_vendor` ON (`webapp_token`.`vendor_id` = `webapp_vendor`.`id`) GROUP BY `webapp_token`.`id` ORDER BY `webapp_token`.`id` DESC; args=()
2017-05-30 17:53:48,081 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:53:48,085 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:53:48,086 [DEBUG] django.db.backends: (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:23:48'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:23:48')
2017-05-30 17:53:48,089 [DEBUG] django.db.backends: (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:55:35,196 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:55:35,198 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:55:35,200 [DEBUG] django.db.backends: (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:25:35'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:25:35')
2017-05-30 17:55:35,203 [DEBUG] django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:55:35,207 [DEBUG] django.db.backends: (0.003) SELECT COUNT(*) FROM (SELECT `webapp_vendor`.`vendorName` AS Col1, COUNT(`webapp_token`.`vendor_id`) AS `num_tokens` FROM `webapp_token` INNER JOIN `webapp_vendor` ON (`webapp_token`.`vendor_id` = `webapp_vendor`.`id`) GROUP BY `webapp_vendor`.`vendorName` ORDER BY NULL) subquery; args=()
2017-05-30 17:55:35,211 [DEBUG] django.db.backends: (0.001) SELECT `webapp_vendor`.`vendorName`, COUNT(`webapp_token`.`vendor_id`) AS `num_tokens` FROM `webapp_token` INNER JOIN `webapp_vendor` ON (`webapp_token`.`vendor_id` = `webapp_vendor`.`id`) GROUP BY `webapp_token`.`id` ORDER BY `webapp_token`.`id` DESC; args=()
2017-05-30 17:55:42,668 [DEBUG] django.db.backends: (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:55:42,671 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:55:42,674 [DEBUG] django.db.backends: (0.003) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:25:42'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:25:42')
2017-05-30 17:55:42,678 [DEBUG] django.db.backends: (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:55:44,572 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:55:44,575 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:55:44,576 [DEBUG] django.db.backends: (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:25:44'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:25:44')
2017-05-30 17:55:44,579 [DEBUG] django.db.backends: (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:55:44,582 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) AS `__count` FROM `webapp_token`; args=()
2017-05-30 17:55:44,585 [DEBUG] django.db.backends: (0.000) SELECT `webapp_token`.`id`, `webapp_token`.`vendor_id`, `webapp_token`.`barcode_id`, `webapp_token`.`tokenDateTime` FROM `webapp_token` ORDER BY `webapp_token`.`id` DESC; args=()
2017-05-30 17:55:44,611 [DEBUG] django.db.backends: (0.000) SELECT `webapp_vendor`.`id`, `webapp_vendor`.`vendorName` FROM `webapp_vendor` WHERE `webapp_vendor`.`id` = 1; args=(1,)
2017-05-30 17:55:44,615 [DEBUG] django.db.backends: (0.002) SELECT `webapp_barcode`.`id`, `webapp_barcode`.`employeeId`, `webapp_barcode`.`barcodeName`, `webapp_barcode`.`barcode` FROM `webapp_barcode` WHERE `webapp_barcode`.`id` = 2; args=(2,)
2017-05-30 17:55:44,619 [DEBUG] django.db.backends: (0.000) SELECT `webapp_vendor`.`id`, `webapp_vendor`.`vendorName` FROM `webapp_vendor` WHERE `webapp_vendor`.`id` = 1; args=(1,)
2017-05-30 17:55:44,621 [DEBUG] django.db.backends: (0.000) SELECT `webapp_barcode`.`id`, `webapp_barcode`.`employeeId`, `webapp_barcode`.`barcodeName`, `webapp_barcode`.`barcode` FROM `webapp_barcode` WHERE `webapp_barcode`.`id` = 2; args=(2,)
2017-05-30 17:55:44,624 [DEBUG] django.db.backends: (0.001) SELECT `webapp_vendor`.`id`, `webapp_vendor`.`vendorName` FROM `webapp_vendor` WHERE `webapp_vendor`.`id` = 1; args=(1,)
2017-05-30 17:55:44,625 [DEBUG] django.db.backends: (0.000) SELECT `webapp_barcode`.`id`, `webapp_barcode`.`employeeId`, `webapp_barcode`.`barcodeName`, `webapp_barcode`.`barcode` FROM `webapp_barcode` WHERE `webapp_barcode`.`id` = 1; args=(1,)
2017-05-30 17:55:44,653 [DEBUG] django.db.backends: (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:55:44,657 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:55:44,660 [DEBUG] django.db.backends: (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:25:44'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:25:44')
2017-05-30 17:55:44,663 [DEBUG] django.db.backends: (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:55:49,582 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:55:49,586 [DEBUG] django.db.backends: (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:55:49,588 [DEBUG] django.db.backends: (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:25:49'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:25:49')
2017-05-30 17:55:49,595 [DEBUG] django.db.backends: (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:56:22,487 [DEBUG] django.db.backends: (0.003) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:56:22,694 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:56:22,700 [DEBUG] django.db.backends: (0.005) SHOW FULL TABLES; args=None
2017-05-30 17:56:22,709 [DEBUG] django.db.backends: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-05-30 17:56:28,355 [DEBUG] django.db.backends: (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:56:28,358 [DEBUG] django.db.backends: (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:56:28,358 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:26:28'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:26:28')
2017-05-30 17:56:28,362 [DEBUG] django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:56:56,318 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:56:56,321 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:56:56,322 [DEBUG] django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:26:56'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:26:56')
2017-05-30 17:56:56,322 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:56:56,325 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) AS `__count` FROM `webapp_token`; args=()
2017-05-30 17:56:56,328 [DEBUG] django.db.backends: (0.000) SELECT `webapp_token`.`id`, `webapp_token`.`vendor_id`, `webapp_token`.`barcode_id`, `webapp_token`.`tokenDateTime` FROM `webapp_token` ORDER BY `webapp_token`.`id` DESC; args=()
2017-05-30 17:56:56,361 [DEBUG] django.db.backends: (0.000) SELECT `webapp_vendor`.`id`, `webapp_vendor`.`vendorName` FROM `webapp_vendor` WHERE `webapp_vendor`.`id` = 1; args=(1,)
2017-05-30 17:56:56,364 [DEBUG] django.db.backends: (0.001) SELECT `webapp_barcode`.`id`, `webapp_barcode`.`employeeId`, `webapp_barcode`.`barcodeName`, `webapp_barcode`.`barcode` FROM `webapp_barcode` WHERE `webapp_barcode`.`id` = 2; args=(2,)
2017-05-30 17:56:56,368 [DEBUG] django.db.backends: (0.001) SELECT `webapp_vendor`.`id`, `webapp_vendor`.`vendorName` FROM `webapp_vendor` WHERE `webapp_vendor`.`id` = 1; args=(1,)
2017-05-30 17:56:56,369 [DEBUG] django.db.backends: (0.001) SELECT `webapp_barcode`.`id`, `webapp_barcode`.`employeeId`, `webapp_barcode`.`barcodeName`, `webapp_barcode`.`barcode` FROM `webapp_barcode` WHERE `webapp_barcode`.`id` = 2; args=(2,)
2017-05-30 17:56:56,371 [DEBUG] django.db.backends: (0.000) SELECT `webapp_vendor`.`id`, `webapp_vendor`.`vendorName` FROM `webapp_vendor` WHERE `webapp_vendor`.`id` = 1; args=(1,)
2017-05-30 17:56:56,374 [DEBUG] django.db.backends: (0.001) SELECT `webapp_barcode`.`id`, `webapp_barcode`.`employeeId`, `webapp_barcode`.`barcodeName`, `webapp_barcode`.`barcode` FROM `webapp_barcode` WHERE `webapp_barcode`.`id` = 1; args=(1,)
2017-05-30 17:56:56,405 [DEBUG] django.db.backends: (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:56:56,408 [DEBUG] django.db.backends: (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:56:56,408 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:26:56'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:26:56')
2017-05-30 17:56:56,411 [DEBUG] django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:57:49,742 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:57:49,744 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:57:49,746 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:27:49'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:27:49')
2017-05-30 17:57:49,747 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:58:14,033 [DEBUG] django.db.backends: (0.003) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:58:14,246 [DEBUG] django.db.backends: (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:58:14,250 [DEBUG] django.db.backends: (0.004) SHOW FULL TABLES; args=None
2017-05-30 17:58:14,263 [DEBUG] django.db.backends: (0.003) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-05-30 17:58:20,979 [DEBUG] django.db.backends: (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:58:21,197 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:58:21,201 [DEBUG] django.db.backends: (0.004) SHOW FULL TABLES; args=None
2017-05-30 17:58:21,210 [DEBUG] django.db.backends: (0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-05-30 17:58:26,036 [DEBUG] django.db.backends: (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:58:26,039 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:58:26,040 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:28:26'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:28:26')
2017-05-30 17:58:26,045 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2017-05-30 17:58:29,453 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:58:29,456 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:58:29,459 [DEBUG] django.db.backends: (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'i0no0uu6rfr1hstlo3s3nl1rlrujwpgr' AND `django_session`.`expire_date` > '2017-05-30 12:28:29'); args=('i0no0uu6rfr1hstlo3s3nl1rlrujwpgr', u'2017-05-30 12:28:29')
